relation	same_speaker	id_DU1	end_qmark_DU1	start_word_DU1	end_bang_DU1	end_word_DU1	id_DU2	end_qmark_DU2	start_word_DU2	end_bang_DU2	end_word_DU2
d	d	d	d	d	d	d	d	d	d	d	d
											
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365817136	True	ore	False	?	s1-league1-game1_03_discourse_stac_1365827136	False	3	False	well
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365817136	True	ore	False	?	s1-league1-game1_03_discourse_stac_1365837136	False	kerch	False	kerch
Elaboration	True	s1-league1-game1_03_discourse_stac_1365827136	False	3	False	well	s1-league1-game1_03_discourse_stac_1365837136	False	kerch	False	kerch
Q-Elab	False	s1-league1-game1_03_discourse_stac_1365817136	True	ore	False	?	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365827136	False	3	False	well	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365837136	False	kerch	False	kerch	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365827136	False	3	False	well	s1-league1-game1_03_discourse_stac_1365857136	False	wood	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365837136	False	kerch	False	kerch	s1-league1-game1_03_discourse_stac_1365857136	False	wood	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always	s1-league1-game1_03_discourse_stac_1365857136	False	wood	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365837136	False	kerch	False	kerch	s1-league1-game1_03_discourse_stac_1365857137	True	wheat	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always	s1-league1-game1_03_discourse_stac_1365857137	True	wheat	False	?
Continuation	True	s1-league1-game1_03_discourse_stac_1365857136	False	wood	False	?	s1-league1-game1_03_discourse_stac_1365857137	True	wheat	False	?
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365847136	False	^	False	always	s1-league1-game1_03_discourse_stac_1365867136	False	no	False	sry
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365857136	False	wood	False	?	s1-league1-game1_03_discourse_stac_1365867136	False	no	False	sry
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365857137	True	wheat	False	?	s1-league1-game1_03_discourse_stac_1365867136	False	no	False	sry
Question-answer_pair	False	s1-league1-game1_03_discourse_stac_1365897136	True	anyone	False	?	s1-league1-game1_03_discourse_stac_1365907136	False	for	False	sheep
