d#dummy_cls,c#num_tokens_1,c#pos_start_1,d#start_word_1,c#pos_end_1,c#end_bang_1,c#has_lex_ore_1,c#has_lex_sheep_1,c#has_lex_wheat_1,c#has_lex_wood_1,c#has_lex_clay_1,d#end_word_1,c#has_p_name_1,c#end_qmark_1,c#num_tokens_2,c#pos_start_2,c#start_word_2,c#pos_end_2,c#end_bang_2,c#has_lex_ore_2,c#has_lex_sheep_2,c#has_lex_wheat_2,c#has_lex_wood_2,c#has_lex_clay_2,d#end_word_2,c#has_p_name_2,c#end_qmark_2
ore,5,22,ore,43,False,True,False,False,False,False,?,True,True,5,66,3,90,False,False,False,False,False,False,well,False,False
ore,5,22,ore,43,False,True,False,False,False,False,?,True,True,1,113,kerch,121,False,False,False,False,False,False,kerch,False,False
3s,5,66,3,90,False,False,False,False,False,False,well,False,False,1,113,kerch,121,False,False,False,False,False,False,kerch,False,False
ore,5,22,ore,43,False,True,False,False,False,False,?,True,True,7,138,^,163,False,False,True,False,False,False,always,False,False
3s,5,66,3,90,False,False,False,False,False,False,well,False,False,7,138,^,163,False,False,True,False,False,False,always,False,False
kerching,1,113,kerch,121,False,False,False,False,False,False,kerch,False,False,7,138,^,163,False,False,True,False,False,False,always,False,False
3s,5,66,3,90,False,False,False,False,False,False,well,False,False,2,185,wood,191,False,False,False,False,True,False,?,False,False
kerching,1,113,kerch,121,False,False,False,False,False,False,kerch,False,False,2,185,wood,191,False,False,False,False,True,False,?,False,False
^,7,138,^,163,False,False,True,False,False,False,always,False,False,2,185,wood,191,False,False,False,False,True,False,?,False,False
kerching,1,113,kerch,121,False,False,False,False,False,False,kerch,False,False,2,192,wheat,198,False,False,False,True,False,False,?,False,True
^,7,138,^,163,False,False,True,False,False,False,always,False,False,2,192,wheat,198,False,False,False,True,False,False,?,False,True
wood,2,185,wood,191,False,False,False,False,True,False,?,False,False,2,192,wheat,198,False,False,False,True,False,False,?,False,True
^,7,138,^,163,False,False,True,False,False,False,always,False,False,2,215,no,221,False,False,False,False,False,False,sry,False,False
wood,2,185,wood,191,False,False,False,False,True,False,?,False,False,2,215,no,221,False,False,False,False,False,False,sry,False,False
wheat,2,192,wheat,198,False,False,False,True,False,False,?,False,True,2,215,no,221,False,False,False,False,False,False,sry,False,False
wood,2,185,wood,191,False,False,False,False,True,False,?,False,False,4,244,anyone,260,False,False,False,False,False,True,?,False,True
wheat,2,192,wheat,198,False,False,False,True,False,False,?,False,True,4,244,anyone,260,False,False,False,False,False,True,?,False,True
no,2,215,no,221,False,False,False,False,False,False,sry,False,False,4,244,anyone,260,False,False,False,False,False,True,?,False,True
wheat,2,192,wheat,198,False,False,False,True,False,False,?,False,True,3,277,for,288,False,False,True,True,False,True,sheep,False,False
no,2,215,no,221,False,False,False,False,False,False,sry,False,False,3,277,for,288,False,False,True,True,False,True,sheep,False,False
anyone,4,244,anyone,260,False,False,False,False,False,True,?,False,True,3,277,for,288,False,False,True,True,False,True,sheep,False,False
no,2,215,no,221,False,False,False,False,False,False,sry,False,False,5,311,i,326,False,False,True,False,False,False,COMMA,False,False
anyone,4,244,anyone,260,False,False,False,False,False,True,?,False,True,5,311,i,326,False,False,True,False,False,False,COMMA,False,False
for,3,277,for,288,False,False,True,True,False,True,sheep,False,False,5,311,i,326,False,False,True,False,False,False,COMMA,False,False
anyone,4,244,anyone,260,False,False,False,False,False,True,?,False,True,2,327,sorry,333,False,False,False,False,False,False,COMMA,False,False
for,3,277,for,288,False,False,True,True,False,True,sheep,False,False,2,327,sorry,333,False,False,False,False,False,False,COMMA,False,False
i,5,311,i,326,False,False,True,False,False,False,COMMA,False,False,2,327,sorry,333,False,False,False,False,False,False,COMMA,False,False
for,3,277,for,288,False,False,True,True,False,True,sheep,False,False,8,334,I,368,False,False,False,False,False,False,too,False,False
i,5,311,i,326,False,False,True,False,False,False,COMMA,False,False,8,334,I,368,False,False,False,False,False,False,too,False,False
