is_commitment	id	turn_id
d	d	d
class	meta	meta
True	s1-league1-game1_05_units_stac_1359784596	s1-league1-game1_05_stac_1359734601
True	s1-league1-game1_05_units_stac_1359794596	s1-league1-game1_05_stac_1359734602
False	s1-league1-game1_05_units_stac_1359804596	s1-league1-game1_05_stac_1359734603
False	s1-league1-game1_05_units_stac_1359834596	s1-league1-game1_05_stac_1359734606
False	s1-league1-game1_05_units_stac_1359844596	s1-league1-game1_05_stac_1359734607
False	s1-league1-game1_05_units_stac_1359854596	s1-league1-game1_05_stac_1359734608
True	s1-league1-game1_05_units_stac_1359864596	s1-league1-game1_05_stac_1359734609
False	s1-league1-game1_05_units_stac_1359874596	s1-league1-game1_05_stac_1359734610
False	s1-league1-game1_05_units_stac_1359884596	s1-league1-game1_05_stac_1359734611
False	s1-league1-game1_05_units_stac_1359894596	s1-league1-game1_05_stac_1359734612
False	s1-league1-game1_05_units_stac_1359904596	s1-league1-game1_05_stac_1359734613
False	s1-league1-game1_05_units_stac_1359914596	s1-league1-game1_05_stac_1359734614
True	s1-league1-game1_05_units_stac_1359924596	s1-league1-game1_05_stac_1359734615
True	s1-league1-game1_05_units_stac_1359924597	s1-league1-game1_05_stac_1359734615
False	s1-league1-game1_05_units_stac_1359934596	s1-league1-game1_05_stac_1359734616
False	s1-league1-game1_05_units_stac_1359944596	s1-league1-game1_05_stac_1359734617
False	s1-league1-game1_05_units_stac_1359954596	s1-league1-game1_05_stac_1359734618
False	s1-league1-game1_05_units_stac_1359954597	s1-league1-game1_05_stac_1359734618
True	s1-league1-game1_05_units_stac_1359964596	s1-league1-game1_05_stac_1359734619
True	s1-league1-game1_05_units_stac_1359974596	s1-league1-game1_05_stac_1359734620
False	s1-league1-game1_05_units_stac_1359984596	s1-league1-game1_05_stac_1359734621
False	s1-league1-game1_05_units_stac_1359994596	s1-league1-game1_05_stac_1359734622
True	s1-league1-game1_05_units_stac_1360004596	s1-league1-game1_05_stac_1359734623
